domain,findingId,title,disposition,launchBlocker,evidenceState,evidence,currentStatus,requiredAction,ownerValidationRequired,deviceValidationRequired,notes
"baseline","LP241-B01","Repository baseline captured","PASS","false","PROVEN_CURRENT","HEAD 3f9d144; package 276.1.0; no local main ref is available.","Current checkout and tracked baseline are inspectable.","None.","false","false","Pre-existing ignored build directories are excluded."
"geography","LP241-G01","Authoritative Texas county and community projection","PASS","false","PROVEN_CURRENT","Projection contains 254 counties, 1859 canonical communities, 2058 memberships, and 163 multi-county identities.","Current deterministic artifacts are complete.","Retain current governance.","false","false","No historical total was assumed; current file was counted."
"address","LP241-A01","Statewide address packages exist with integrity evidence","PASS","false","PROVEN_CURRENT","LP130 final reconciliation records 254 packages, 254 sidecars, unique FIPS, and zero missing packages.","WAS MISSING is superseded; package presence IS NOT MISSING NOW.","Do not regenerate.","false","false","Package presence is not live provider certification."
"address","LP241-A02","Statewide live address/search behavior is not currently certified","FIX BEFORE LAUNCH","true","RUNTIME_REQUIRED","The tracked LP104.5 runtime manifest lists only Liberty while candidate packages cover 254 counties; this audit executes no private/live query.","Statewide exactness, fallback truthfulness, rendering, selection, and route handoff remain unproven.","Execute and sign off the 254-county privacy-safe fixture plan against the launch deployment; record provider/result fields and resolve every WRONG_RESULT or false-success outcome.","true","false","A centroid or unrelated road cannot pass as an exact address."
"crossings","LP241-C01","Canonical statewide crossing authority","PASS","false","PROVEN_CURRENT","LP239 certification has 1,859 rows and zero failures.","Static canonical crossing identity and membership parity pass statewide.","Run bounded owner journey samples only.","true","false","Runtime positive/empty and interactions remain in acceptance plan, not fabricated."
"roadways","LP241-R01","Statewide Official Roadways artifacts and LP240 presentation","PASS","false","PROVEN_CURRENT","LP210 remote manifest and LP211 activation inventory are tracked; LP240 tests protect road-first labels and condition-owned actions.","Deterministic authority is current.","Owner verifies bounded active, quiet, stale and provider-failure journeys.","true","false","No LP240 contract reopened."
"weather","LP241-W01","Selected-area NWS and LP240 weather contracts","PASS","false","PROVEN_CURRENT","Current LP240 deterministic suite covers selected point, lineage, ACTIVE/QUIET/UNAVAILABLE, Alerts and KBYG handoff.","Static contract is current.","Owner validates active, quiet, transition and forced-failure cases.","true","false","An empty presentation array is never accepted as proof of QUIET."
"community-reports","LP241-U01","Report persistence lifecycle requires launch-deployment proof","FIX BEFORE LAUNCH","true","RUNTIME_REQUIRED","Static tests cannot prove production Supabase persistence, RLS, confirm/clear, rehydration, or truthful submission failure.","End-to-end launch environment evidence is absent from this audit.","Complete the finite report submit, refresh, area-switch, confirm/clear, duplicate, abuse-control and forced-failure acceptance run.","true","false","Do not accept fake success."
"known-open","LP241-X01","Box Canyon contract remains unresolved","FIX BEFORE LAUNCH","true","OWNER_VISUAL_REQUIRED","LP220 explicitly leaves Box Canyon and broader county investigation unresolved; LP219 identifies generated-incident propagation semantics.","Open; a static statewide pass does not resolve it.","Owner must reproduce Box Canyon in Val Verde context and decide expected Alerts/KBYG/Location Context propagation and camera movement, then retain screenshots and result.","true","false","Historical evidence located; no current pass claimed."
"compatibility","LP241-D01","Physical compatibility and accessibility acceptance","FIX BEFORE LAUNCH","true","DEVICE_REQUIRED","Static inspection finds manifest/service-worker/geolocation paths, but no LP241 physical-device or assistive-technology run exists.","Touch, keyboard, focus, text scaling, reduced motion, orientation, safe-area, installed-PWA and screen-reader behavior remain unproven.","Complete the bounded device matrix; fix only demonstrated barriers and record exact device/browser versions.","true","true","No WCAG conformance claim."
"visual","LP241-V01","Owner visual tour not yet executed","IMPROVE BEFORE LAUNCH","false","OWNER_VISUAL_REQUIRED","Static surface inventory exists; current portrait screenshots were not fabricated.","Perceived polish requires owner review.","Capture the specified portrait-first side-by-side tour and classify observed issues.","true","false","Launch impact escalates only with traveler-facing evidence."
"legal","LP241-L01","Final public-launch legal approval is open","FIX BEFORE LAUNCH","true","EXTERNAL_AUTHORITY_REQUIRED","LP184.1D is draftOnly, pass=false, closed=false, and blocksPublicLaunch=true.","Draft policies exist but are not final public-launch authority.","Obtain appropriate professional/owner approval, publish effective documents and verify support/privacy contact paths plus required attribution/disclosures.","true","false","This is evidence reporting, not a legal conclusion."
"pwa","LP241-P01","PWA static assets and lifecycle contract exist","PASS","false","STATIC_ONLY","Manifest provides standalone/start_url/scope/icons; service-worker registration and lifecycle code are present.","Static configuration present; install/update recovery needs device proof.","Cover install, offline shell, update, stale client and online recovery in device run.","false","true","Static proof is not installability proof."
"operations","LP241-O01","Launch-day operational go/no-go evidence","FIX BEFORE LAUNCH","true","OWNER_VISUAL_REQUIRED","Historical rollback/incident artifacts exist, but LP241 has no current deployment ID, provider-health capture, current rollback rehearsal, named incident owner, or abort record.","Current release controls require bounded owner sign-off.","Record release SHA/deployment ID, provider health/quota, monitoring owner, rollback command/rehearsal, backup status, and explicit abort thresholds.","true","false","Appropriate bounded controls only."
"performance","LP241-F01","Performance requires bounded owner measurements","IMPROVE BEFORE LAUNCH","false","RUNTIME_REQUIRED","Static inspection cannot establish first usable interaction or transition latency on launch devices.","No user-harm finding is proven.","Measure startup, area switch, sheets, search, route and report refresh while checking listener/interval accumulation.","true","true","rAF/setInterval/forced-reflow observations alone are not defects."
"post-launch","LP241-Z01","Broader analytics and polish iteration","POST-LAUNCH","false","UNKNOWN","No current evidence makes broader optimization a launch requirement.","Defer unless acceptance demonstrates material harm.","Track real traveler outcomes after launch.","false","false","Do not manufacture pre-launch work."
